"unique_file","site","trap_location","camera_type","date","time","species","id_certainty_1_3","animal_behaviour_in_view","comments","CamId","DateTime","DateTimeOriginal","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","n_images"
"IMG_0037",1,"22","Reconyx","25/07/2022","1:00:00","",NA,"Sunlight trigger","","1_22","25/07/2022 1:00:00","2022-07-25 01:00:00",0,0,0,0,1
"IMG_0001",1,"Cage","Scoutguard","25/07/2022","9:50:12","",NA,"People moving past","","1_Cage","25/07/2022 9:50:12","2022-07-25 09:50:12",0,0,0,0,1
"IMG_0016",1,"Cage","Scoutguard","25/07/2022","9:58:45","",NA,"People moving past","","1_Cage","25/07/2022 9:58:45","2022-07-25 09:58:45",513,8.6,0.1,0,1
"IMG_0018",1,"Cage","Scoutguard","25/07/2022","10:13:21","",NA,"People moving past","","1_Cage","25/07/2022 10:13:21","2022-07-25 10:13:21",876,14.6,0.2,0,1
"IMG_0020",1,"Cage","Scoutguard","25/07/2022","10:21:27","",NA,"People moving past","","1_Cage","25/07/2022 10:21:27","2022-07-25 10:21:27",486,8.1,0.1,0,2
"IMG_0001 ",1,"22","Reconyx","25/07/2022","10:58:40","",NA,"People moving past","Folder 100RECNX","1_22","25/07/2022 10:58:40","2022-07-25 10:58:40",35920,598.7,10,0.4,20
"IMG_0021",1,"22","Reconyx","25/07/2022","11:03:40","",NA,"Vegetation","","1_22","25/07/2022 11:03:40","2022-07-25 11:03:40",300,5,0.1,0,16
"IMG_001",1,"6","Reconyx","25/07/2022","11:16:34","",NA,"People moving past","","1_6","25/07/2022 11:16:34","2022-07-25 11:16:34",0,0,0,0,6
"IMG_0001 ",1,"18","Reconyx","25/07/2022","11:44:45","",NA,"People setting up trap","","1_18","25/07/2022 11:44:45","2022-07-25 11:44:45",0,0,0,0,15
"IMG_0001 ",1,"15","Reconyx","25/07/2022","13:00:00","",NA,"N/A","False trigger","1_15","25/07/2022 13:00:00","2022-07-25 13:00:00",0,0,0,0,1
"IMG_0001",1,"3","Reconyx","25/07/2022","13:00:00","",NA,"People setting up trap","Folder 100RECNX","1_3","25/07/2022 13:00:00","2022-07-25 13:00:00",0,0,0,0,1
"IMG_0038",1,"22","Reconyx","25/07/2022","13:50:29","",NA,"People moving past","","1_22","25/07/2022 13:50:29","2022-07-25 13:50:29",10009,166.8,2.8,0.1,6
"IMG_0007",1,"3","Reconyx","25/07/2022","13:51:19","",NA,"People setting up trap","Folder 100RECNX","1_3","25/07/2022 13:51:19","2022-07-25 13:51:19",3079,51.3,0.9,0,1
"IMG_0001 ",1,"9","Reconyx","25/07/2022","14:00:00","",NA,"Sunlight trigger","","1_9","25/07/2022 14:00:00","2022-07-25 14:00:00",0,0,0,0,1
"IMG_007",1,"6","Reconyx","25/07/2022","14:00:00","",NA,"Vegetation","","1_6","25/07/2022 14:00:00","2022-07-25 14:00:00",9806,163.4,2.7,0.1,1
"IMG_0036",1,"Cage","Scoutguard","26/07/2022","9:14:55","",NA,"People moving past","","1_Cage","26/07/2022 9:14:55","2022-07-26 09:14:55",82408,1373.5,22.9,1,1
"IMG_008",1,"6","Reconyx","26/07/2022","9:44:03","",NA,"People checking trap","","1_6","26/07/2022 9:44:03","2022-07-26 09:44:03",71043,1184,19.7,0.8,3
"IMG_0001 ",1,"22","Reconyx","26/07/2022","9:44:28","",NA,"People moving past","Folder 101RECNX","1_22","26/07/2022 9:44:28","2022-07-26 09:44:28",71639,1194,19.9,0.8,2
"IMG_0005",1,"9","Reconyx","26/07/2022","9:46:44","",NA,"Person moving past","","1_9","26/07/2022 9:46:44","2022-07-26 09:46:44",71204,1186.7,19.8,0.8,6
"IMG_0016",1,"18","Reconyx","26/07/2022","9:51:23","",NA,"People moving past","","1_18","26/07/2022 9:51:23","2022-07-26 09:51:23",79598,1326.6,22.1,0.9,15
"IMG_0038",1,"15","Reconyx","26/07/2022","10:00:00","",NA,"N/A","False trigger","1_15","26/07/2022 10:00:00","2022-07-26 10:00:00",75600,1260,21,0.9,1
"IMG_0011",1,"9","Reconyx","26/07/2022","10:00:00","",NA,"False trigger","","1_9","26/07/2022 10:00:00","2022-07-26 10:00:00",796,13.3,0.2,0,1
"IMG_0049",1,"22","Reconyx","26/07/2022","10:00:00","",NA,"False trigger","","1_22","26/07/2022 10:00:00","2022-07-26 10:00:00",932,15.5,0.3,0,1
"IMG_011",1,"6","Reconyx","26/07/2022","10:00:00","",NA,"Vegetation","","1_6","26/07/2022 10:00:00","2022-07-26 10:00:00",957,15.9,0.3,0,1
"IMG_0001",1,"3","Reconyx","26/07/2022","10:00:00","",NA,"False trigger","Folder 102RECNX","1_3","26/07/2022 10:00:00","2022-07-26 10:00:00",72521,1208.7,20.1,0.8,1
"IMG_0045",1,"15","Reconyx","26/07/2022","13:00:00","",NA,"N/A","False trigger","1_15","26/07/2022 13:00:00","2022-07-26 13:00:00",10800,180,3,0.1,1
"IMG_0050",1,"22","Reconyx","26/07/2022","13:00:00","",NA,"False trigger","","1_22","26/07/2022 13:00:00","2022-07-26 13:00:00",10800,180,3,0.1,1
"IMG_0002",1,"3","Reconyx","26/07/2022","13:00:00","",NA,"False trigger","Folder 102RECNX","1_3","26/07/2022 13:00:00","2022-07-26 13:00:00",10800,180,3,0.1,1
"IMG_0045",1,"Cage","Scoutguard","26/07/2022","13:16:00","",NA,"People moving past","","1_Cage","26/07/2022 13:16:00","2022-07-26 13:16:00",14465,241.1,4,0.2,1
"IMG_0051",1,"22","Reconyx","26/07/2022","13:38:33","",NA,"Vegetation","","1_22","26/07/2022 13:38:33","2022-07-26 13:38:33",2313,38.5,0.6,0,3
"IMG_0054",1,"22","Reconyx","26/07/2022","13:47:55","",NA,"Vegetation","","1_22","26/07/2022 13:47:55","2022-07-26 13:47:55",562,9.4,0.2,0,3
"IMG_0012",1,"9","Reconyx","26/07/2022","14:00:00","",NA,"False trigger","","1_9","26/07/2022 14:00:00","2022-07-26 14:00:00",14400,240,4,0.2,1
"IMG_012",1,"6","Reconyx","26/07/2022","14:00:00","",NA,"Vegetation","","1_6","26/07/2022 14:00:00","2022-07-26 14:00:00",14400,240,4,0.2,1
"IMG_0092",1,"Cage","Scoutguard","27/07/2022","9:04:40","",NA,"People removing trap","","1_Cage","27/07/2022 9:04:40","2022-07-27 09:04:40",71320,1188.7,19.8,0.8,1
"IMG_0057",1,"22","Reconyx","27/07/2022","9:32:03","",NA,"People moving past","","1_22","27/07/2022 9:32:03","2022-07-27 09:32:03",71048,1184.1,19.7,0.8,2
"IMG_0031",1,"18","Reconyx","27/07/2022","9:40:25","",NA,"People removing trap","","1_18","27/07/2022 9:40:25","2022-07-27 09:40:25",85742,1429,23.8,1,6
