"placename","longitude","latitude","camera_id","camera_name","subproject_name","start_date","end_date"
"S02_T02",151.7393117,-32.24083333,2085469,"S02_T02","Site_02",2024-07-22,2024-07-25
"S02_T04",151.739925,-32.238892,2110167,"S02_T04","Site_02",2024-07-22,2024-07-25
"S02_T06",151.738855,-32.24098833,2085470,"S02_T06","Site_02",2024-07-22,2024-07-25
"S02_T08",151.740147,-32.238703,2110168,"S02_T08","Site_02",2024-07-22,2024-07-25
"S02_T10",151.7383633,-32.241185,2085471,"S02_T10","Site_02",2024-07-22,2024-07-25
"S02_T12",151.7380767,-32.24136833,2085472,"S02_T12","Site_02",2024-07-22,2024-07-25
"S02_T16",151.7388683,-32.24040167,2085474,"S02_T16","Site_02",2024-07-22,2024-07-25
"S02_T18",151.740311,-32.239334,2110169,"S02_T18","Site_02",2024-07-22,2024-07-25
"S02_T20",151.73935,-32.24015,2085475,"S02_T20","Site_02",2024-07-22,2024-07-25
"S02_T22",151.7393833,-32.23995,2085476,"S02_T22","Site_02",2024-07-22,2024-07-25
"S02_T24",151.7400333,-32.24046667,2085477,"S02_T24","Site_02",2024-07-22,2024-07-25
"S03_T02",151.7407367,-32.243005,2085478,"S03_T02","Site_03",2024-07-22,2024-07-25
"S03_T04",151.7405333,-32.24297167,2085479,"S03_T04","Site_03",2024-07-22,2024-07-25
"S03_T06",151.74042,-32.24286833,2085480,"S03_T06","Site_03",2024-07-22,2024-07-25
"S03_T08",151.7402583,-32.24302333,2085481,"S03_T08","Site_03",2024-07-22,2024-07-25
"S03_T10",151.7401233,-32.24303167,2085482,"S03_T10","Site_03",2024-07-22,2024-07-25
"S03_T12",151.74,-32.24316667,2085483,"S03_T12","Site_03",2024-07-22,2024-07-25
"S03_T14",151.7398167,-32.24246667,2085484,"S03_T14","Site_03",2024-07-22,2024-07-25
"S03_T16",151.7399,-32.24238333,2085485,"S03_T16","Site_03",2024-07-22,2024-07-25
"S03_T18",151.74005,-32.24221667,2085486,"S03_T18","Site_03",2024-07-22,2024-07-25
"S03_T20",151.7401333,-32.24205,2085487,"S03_T20","Site_03",2024-07-22,2024-07-25
"S03_T22",151.7404167,-32.24188333,2085488,"S03_T22","Site_03",2024-07-22,2024-07-25
"S03_T24",151.7406167,-32.24191667,2085489,"S03_T24","Site_03",2024-07-22,2024-07-25
"S04_T02",151.7452,-32.2443,2085490,"S04_T02","Site_04",2024-07-22,2024-07-25
"S04_T06",151.7456,-32.2442,2085492,"S04_T06","Site_04",2024-07-22,2024-07-25
"S04_T08",151.7457,-32.2441,2085493,"S04_T08","Site_04",2024-07-22,2024-07-25
"S04_T10",151.7458,-32.2441,2085494,"S04_T10","Site_04",2024-07-22,2024-07-25
"S04_T12",151.7458,-32.2437,2085495,"S04_T12","Site_04",2024-07-22,2024-07-25
"S04_T14",151.7462,-32.2443,2085496,"S04_T14","Site_04",2024-07-22,2024-07-25
"S04_T16",151.746,-32.2443,2085497,"S04_T16","Site_04",2024-07-22,2024-07-25
"S04_T18",151.7459,-32.2443,2085498,"S04_T18","Site_04",2024-07-22,2024-07-25
"S04_T22",151.7455,-32.2445,2085500,"S04_T22","Site_04",2024-07-22,2024-07-25
"S04_T24",151.7454,-32.2445,2085501,"S04_T24","Site_04",2024-07-22,2024-07-25
"S05_T02",151.7509017,-32.24677667,2085502,"S05_T02","Site_05",2024-07-22,2024-07-25
"S05_T04",151.751105,-32.24666667,2085503,"S05_T04","Site_05",2024-07-22,2024-07-25
"S05_T06",151.7513317,-32.24667833,2085504,"S05_T06","Site_05",2024-07-22,2024-07-25
"S05_T08",151.7513983,-32.246685,2085505,"S05_T08","Site_05",2024-07-22,2024-07-25
"S05_T10",151.751655,-32.24666167,2085506,"S05_T10","Site_05",2024-07-22,2024-07-25
"S05_T12",151.7517167,-32.24657667,2085507,"S05_T12","Site_05",2024-07-22,2024-07-25
"S05_T14",151.7513533,-32.24630167,2085508,"S05_T14","Site_05",2024-07-22,2024-07-25
"S05_T16",151.7515,-32.24640833,2085509,"S05_T16","Site_05",2024-07-22,2024-07-25
"S05_T18",151.75131,-32.24646167,2085510,"S05_T18","Site_05",2024-07-22,2024-07-25
"S05_T20",151.751165,-32.24647167,2085511,"S05_T20","Site_05",2024-07-22,2024-07-25
"S05_T22",151.7509833,-32.24643667,2085512,"S05_T22","Site_05",2024-07-22,2024-07-25
"S05_T24",151.7508067,-32.24637333,2085513,"S05_T24","Site_05",2024-07-22,2024-07-25
