project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004409,2085457,S01_T02,,,,
2004409,2085458,S01_T04,,,,
2004409,2085459,S01_T06,,,,
2004409,2085460,S01_T08,,,,
2004409,2085461,S01_T10,,,,
2004409,2085462,S01_T12,,,,
2004409,2085463,S01_T14,,,,
2004409,2085464,S01_T16,,,,
2004409,2085465,S01_T18,,,,
2004409,2085466,S01_T20,,,,
2004409,2085467,S01_T22,,,,
2004409,2085468,S01_T24,,,,
2004409,2085469,S02_T02,,,,
2004409,2085470,S02_T06,,,,
2004409,2085471,S02_T10,,,,
2004409,2085472,S02_T12,,,,
2004409,2085473,S02_T14,,,,
2004409,2085474,S02_T16,,,,
2004409,2085475,S02_T20,,,,
2004409,2085476,S02_T22,,,,
2004409,2085477,S02_T24,,,,
2004409,2085478,S03_T02,,,,
2004409,2085479,S03_T04,,,,
2004409,2085480,S03_T06,,,,
2004409,2085481,S03_T08,,,,
2004409,2085482,S03_T10,,,,
2004409,2085483,S03_T12,,,,
2004409,2085484,S03_T14,,,,
2004409,2085485,S03_T16,,,,
2004409,2085486,S03_T18,,,,
2004409,2085487,S03_T20,,,,
2004409,2085488,S03_T22,,,,
2004409,2085489,S03_T24,,,,
2004409,2085490,S04_T02,,,,
2004409,2085491,S04_T04,,,,
2004409,2085492,S04_T06,,,,
2004409,2085493,S04_T08,,,,
2004409,2085494,S04_T10,,,,
2004409,2085495,S04_T12,,,,
2004409,2085496,S04_T14,,,,
2004409,2085497,S04_T16,,,,
2004409,2085498,S04_T18,,,,
2004409,2085499,S04_T20,,,,
2004409,2085500,S04_T22,,,,
2004409,2085501,S04_T24,,,,
2004409,2085502,S05_T02,,,,
2004409,2085503,S05_T04,,,,
2004409,2085504,S05_T06,,,,
2004409,2085505,S05_T08,,,,
2004409,2085506,S05_T10,,,,
2004409,2085507,S05_T12,,,,
2004409,2085508,S05_T14,,,,
2004409,2085509,S05_T16,,,,
2004409,2085510,S05_T18,,,,
2004409,2085511,S05_T20,,,,
2004409,2085512,S05_T22,,,,
2004409,2085513,S05_T24,,,,
2004409,2110167,S02_T04,,,,
2004409,2110168,S02_T08,,,,
2004409,2110169,S02_T18,,,,
