project_id,deployment_id,subproject_name,subproject_design,placename,longitude,latitude,start_date,end_date,event_name,event_description,event_type,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by,plot_treatment,plot_treatment_description,detection_distance
2004409,S01_T02_2023,Site_01,,S01_T02,151.7346333,-32.2382,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T02,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T04_2023,Site_01,,S01_T04,151.7345333,-32.23855,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T04,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T06_2023,Site_01,,S01_T06,151.7344333,-32.23856667,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T06,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T08_2023,Site_01,,S01_T08,151.7343167,-32.23871667,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T08,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T10_2023,Site_01,,S01_T10,151.7345,-32.23898333,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T10,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T12_2023,Site_01,,S01_T12,151.7345833,-32.23945,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T12,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T14_2023,Site_01,,S01_T14,151.733535,-32.23854833,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T14,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T16_2023,Site_01,,S01_T16,151.7336867,-32.23834667,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T16,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T18_2023,Site_01,,S01_T18,151.733905,-32.23817667,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T18,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T20_2023,Site_01,,S01_T20,151.7339883,-32.23798667,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T20,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T22_2023,Site_01,,S01_T22,151.7341183,-32.23797833,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T22,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S01_T24_2023,Site_01,,S01_T24,151.7342633,-32.23801167,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S01_T24,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T02_2023,Site_02,,S02_T02,151.7393117,-32.24083333,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S02_T02,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T06_2023,Site_02,,S02_T06,151.738855,-32.24098833,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S02_T06,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T10_2023,Site_02,,S02_T10,151.7383633,-32.241185,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S02_T10,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T12_2023,Site_02,,S02_T12,151.7380767,-32.24136833,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S02_T12,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T14_2023,Site_02,,S02_T14,151.7387333,-32.2405,2023-07-24,2023-07-27,None,,None,Other,Universal mammal bait,None,,S02_T14,0,Camera Functioning,Knee height,,Parallel,,,,,
