project_id,deployment_id,subproject_name,subproject_design,placename,longitude,latitude,start_date,end_date,event_name,event_description,event_type,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by,plot_treatment,plot_treatment_description,detection_distance
2004409,S02_T02_2024,Site_02,,S02_T02,151.741035,-32.23845,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T02,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T04_2024,Site_02,,S02_T04,151.739925,-32.238892,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T04,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T06_2024,Site_02,,S02_T06,151.739935,-32.238895,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T06,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T08_2024,Site_02,,S02_T08,151.740147,-32.238703,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T08,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T10_2024,Site_02,,S02_T10,151.740277,-32.238473,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T10,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T12_2024,Site_02,,S02_T12,151.74037,-32.238473,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T12,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T14_2024,Site_02,,S02_T14,151.740512,-32.239022,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T14,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T16_2024,Site_02,,S02_T16,151.746346,-32.239216,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T16,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T18_2024,Site_02,,S02_T18,151.740311,-32.239334,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T18,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T20_2024,Site_02,,S02_T20,151.74017,-32.23937,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T20,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T22_2024,Site_02,,S02_T22,151.740023,-32.239427,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T22,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S02_T24_2024,Site_02,,S02_T24,151.739912,-32.239546,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S02_T24,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T02_2024,Site_03,,S03_T02,151.740831,-32.242932,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T02,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T04_2024,Site_03,,S03_T04,151.740703,-32.242963,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T04,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T06_2024,Site_03,,S03_T06,151.740587,-32.243058,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T06,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T08_2024,Site_03,,S03_T08,151.740521,-32.243165,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T08,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T10_2024,Site_03,,S03_T10,151.740386,-32.243295,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T10,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T12_2024,Site_03,,S03_T12,151.740297,-32.2434,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T12,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T14_2024,Site_03,,S03_T14,151.7401,-32.24248,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T14,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T16_2024,Site_03,,S03_T16,151.74004,-32.24233,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T16,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T18_2024,Site_03,,S03_T18,151.74011,-32.24218,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T18,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T20_2024,Site_03,,S03_T20,151.74025,-32.24209,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T20,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T22_2024,Site_03,,S03_T22,151.74045,-32.24198,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T22,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S03_T24_2024,Site_03,,S03_T24,151.74066,-32.24189,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S03_T24,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T02_2024,Site_04,,S04_T02,151.7451,-32.24435,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T02,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T04_2024,Site_04,,S04_T04,151.7454,-32.24427,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T04,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T06_2024,Site_04,,S04_T06,151.7456,-32.24423,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T06,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T08_2024,Site_04,,S04_T08,151.7457,-32.24407,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T08,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T10_2024,Site_04,,S04_T10,151.7457,-32.24379,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T10,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T12_2024,Site_04,,S04_T12,151.7457,-32.24356,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T12,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T14_2024,Site_04,,S04_T14,151.7463,-32.24413,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T14,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T16_2024,Site_04,,S04_T16,151.7462,-32.2443,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T16,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T18_2024,Site_04,,S04_T18,151.7460,-32.24426,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T18,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T20_2024,Site_04,,S04_T20,151.7458,-32.24432,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T20,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T22_2024,Site_04,,S04_T22,151.7456,-32.24438,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T22,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S04_T24_2024,Site_04,,S04_T24,151.7454,-32.2445,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S04_T24,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T02_2024,Site_05,,S05_T02,151.7510,-32.246543,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T02,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T04_2024,Site_05,,S05_T04,151.751338,-32.246515,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T04,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T06_2024,Site_05,,S05_T06,151.751583,-32.246312,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T06,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T08_2024,Site_05,,S05_T08,151.751689,-32.246477,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T08,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T10_2024,Site_05,,S05_T10,151.751963,-32.24623,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T10,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T12_2024,Site_05,,S05_T12,151.75215,-32.246528,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T12,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T14_2024,Site_05,,S05_T14,151.752191,-32.246072,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T14,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T16_2024,Site_05,,S05_T16,151.75201,-32.245958,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T16,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T18_2024,Site_05,,S05_T18,151.751678,-32.245898,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T18,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T20_2024,Site_05,,S05_T20,151.751461,-32.245919,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T20,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T22_2024,Site_05,,S05_T22,151.751377,-32.24592,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T22,0,Camera Functioning,Knee height,,Parallel,,,,,
2004409,S05_T24_2024,Site_05,,S05_T24,151.751106,-32.245822,2024-07-22,2024-07-25,None,,None,Other,Universal mammal bait,None,,S05_T24,0,Camera Functioning,Knee height,,Parallel,,,,,
